  0 0 Air
  1 1 Teeth
  2 2 Mineral_bone
  3 3 Humeri_upper_half_spongiosa
  4 4 Humeri_lower_half_spongiosa
  5 5 Lower_arm_bones_spongiosa
  6 6 Hand_bones_spongiosa
  7 7 Clavicles_spongiosa
  8 8 Cranium_spongiosa
  9 9 Femora_upper_half_spongiosa
  10 10 Femora_lower_half_spongiosa
  11 11 Lower_leg_bones_spongiosa
  12 12 Foot_bones_spongiosa
  13 13 Mandible_spongiosa
  14 14 Pelvis_spongiosa
  15 15 Ribs_spongiosa
  16 16 Scapulae_spongiosa
  17 17 Cervical_spine_spongiosa
  18 18 Thoracic_spine_spongiosa
  19 19 Lumbar_spine_spongiosa
  20 20 Sacrum_spongiosa
  21 21 Sternum_spongiosa
  22 22 Humeri_and_femora_upper_halves_medullary_cavity
  23 23 Humeri_and_femora_lower_halves_medullary_cavity
  24 24 Lower_arm_bones_medullary_cavity
  25 25 Lower_leg_bones_medullary_cavity
  26 26 Cartilage
  27 27 Skin
  28 28 Blood
  29 29 Muscle_tissue
  30 30 Liver
  31 31 Pancreas
  32 32 Brain
  33 33 Heart
  34 34 Eyes
  35 35 Kidneys
  36 36 Stomach
  37 37 Small_intestine
  38 38 Large_intestine
  39 39 Spleen
  40 40 Thyroid
  41 41 Urinary_bladder
  42 42 Ovaries
  43 43 Adrenals
  44 44 Oesophagus
  45 45 Gallbladder_Pituitary_gland_Trachea_Thymus_Tonsils_Ureters
  46 46 Uterus
  47 47 Lymph
  48 48 Breast_mammary_gland
  49 49 Adipose_tissue
  50 50 Lung_tissue_compressed_lungs
  51 51 Gastrointestinal_tract__contents
  52 52 Urine
  53 53 Air
  54 54 Adipose_tissue
  55 55 Air
  56 56 Gallbladder_Pituitary_gland_Trachea_Thymus_Tonsils_Ureters
  57 57 Gallbladder_Pituitary_gland_Trachea_Thymus_Tonsils_Ureters
  58 58 Gallbladder_Pituitary_gland_Trachea_Thymus_Tonsils_Ureters
  59 59 Gallbladder_Pituitary_gland_Trachea_Thymus_Tonsils_Ureters
  60 60 Gallbladder_Pituitary_gland_Trachea_Thymus_Tonsils_Ureters
  61 61 Brain
  
